state,county,population,date,type,value,lat,long
MI,Genesee,406892,2020-03-22,deaths,0,43.02244215,-83.70589709
MI,Ingham,292735,2020-03-22,cases,11,42.59716886,-84.37472069
MI,Ingham,292735,2020-03-22,deaths,0,42.59716886,-84.37472069
MI,Livingston,191224,2020-03-22,cases,8,42.60302282,-83.91297209
MI,Livingston,191224,2020-03-22,deaths,0,42.60302282,-83.91297209
MI,St. Clair,159337,2020-03-22,cases,7,42.92655373,-82.67937954
MI,St. Clair,159337,2020-03-22,deaths,0,42.92655373,-82.67937954
MI,Monroe,150439,2020-03-22,cases,6,41.92734151,-83.53749864
MI,Monroe,150439,2020-03-22,deaths,0,41.92734151,-83.53749864
MI,Ottawa,290494,2020-03-22,cases,6,42.95996803,-85.9969107
MI,Ottawa,290494,2020-03-22,deaths,0,42.95996803,-85.9969107
MI,Midland,83209,2020-03-22,cases,5,43.64330771,-84.38804374
MI,Midland,83209,2020-03-22,deaths,0,43.64330771,-84.38804374
MI,Berrien,154141,2020-03-22,cases,3,41.95447397,-86.4131308
MI,Berrien,154141,2020-03-22,deaths,0,41.95447397,-86.4131308
MI,Charlevoix,26244,2020-03-22,cases,2,45.37790017,-85.19614053
MI,Charlevoix,26244,2020-03-22,deaths,0,45.37790017,-85.19614053
MI,Clinton,79332,2020-03-22,cases,2,42.94400871,-84.60145248
MI,Clinton,79332,2020-03-22,deaths,0,42.94400871,-84.60145248
MI,Eaton,109826,2020-03-22,cases,2,42.59599185,-84.83740035
MI,Eaton,109826,2020-03-22,deaths,0,42.59599185,-84.83740035
MI,Calhoun,134487,2020-03-22,cases,2,42.24633834,-85.00493569
MI,Calhoun,134487,2020-03-22,deaths,0,42.24633834,-85.00493569
MI,Saginaw,190800,2020-03-22,cases,2,43.33433923,-84.0513121
MI,Saginaw,190800,2020-03-22,deaths,0,43.33433923,-84.0513121
MI,Montcalm,63968,2020-03-22,cases,1,43.31082541,-85.15252824
MI,Montcalm,63968,2020-03-22,deaths,0,43.31082541,-85.15252824
MI,Bay,103923,2020-03-22,cases,1,43.70639106,-83.98731479
MI,Bay,103923,2020-03-22,deaths,0,43.70639106,-83.98731479
MI,Leelanau,21764,2020-03-22,cases,1,44.94430054,-85.80150326
MI,Leelanau,21764,2020-03-22,deaths,0,44.94430054,-85.80150326
MI,Otsego,24665,2020-03-22,cases,1,45.02085831,-84.59898295
MI,Otsego,24665,2020-03-22,deaths,0,45.02085831,-84.59898295
MI,Jackson,158823,2020-03-22,cases,1,42.24807035,-84.42258681
MI,Jackson,158823,2020-03-22,deaths,0,42.24807035,-84.42258681
MI,Barry,61157,2020-03-22,cases,1,42.59513984,-85.30834519
